TITLE: Bill of Materials
BOM NO: 05-037760-01-f2.csv
DATE: 04/17/2019
DESIGN: 02_037760f_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
74,4,E003666,RES PRECISION THICK FILM CHIP R0603," 10",R0603,1,N/A,1/10W,"R67,R68,R70,R71",PANASONIC," ERJ-3EKF10R0V",REL,A003-0032-001,41816DG315,FEC 910-995,N/A,7005634,?,?
75,8,E017858,RES THICK FILM CHIP," 10",R0402,1,N/A,1/16W,"R69,R86,R87,R88,R89,R90,R91,R92",MULTICOMP (SPC)," MC00625W0402110R",REL,N/A,N/A,N/A,N/A,7005635,?,?
76,8,E020519,RES PRECISION THICK FILM CHIP," 33",R0402,1,N/A,1/10W,"R72,R73,R78,R79,R80,R81,R82,R83",PANASONIC," ERJ-2RKF33R0X",REL,N/A,N/A,N/A,N/A,N/A,?,?
77,2,E025327,RES THICK FILM CHIP," 1.5K",R0402,5,N/A,1/10W,"R76,R77",PANASONIC," ERJ-2GEJ152X",REL,N/A,N/A,N/A,N/A,N/A,?,?
78,2,E023524,RES LOW OHMIC CHIP," 0.5",R0402,1,N/A,1/16W,"R84,R85",YAGEO," RL0402FR-070R5L",REL,N/A,N/A,N/A,N/A,N/A,?,?
79,1,E007860,RES PRECISION THICK FILM CHIP," 10.5K",R0402,1,N/A,1/16W,R95,PANASONIC," ERJ-2RKF1052X",REL,ADD_TO_STOCK,N/A,N/A,1528_CAB3,7005687,?,?
80,1,E003791,RES PRECISION THICK FILM CHIP," 20K",R0402,1,N/A,1/16W,R97,PANASONIC," ERJ-2RKF2002X",REL,A003-0035-048,41816DG1537,N/A,1264_CAB3,N/A,?,?
81,1,E006643,RES PRECISION THICK FILM CHIP," 4.99K",R0402,1,N/A,1/16W,R98,PANASONIC," ERJ-2RKF4991X",REL,A003-0035-080,41816JH612,N/A,1263_CAB3,N/A,?,?
82,1,E019952,RES THIN FILM CHIP," 11.3K",R0402,0.1,N/A,1/16W,RC1,TE CONNECTIVITY," CPF0402B11K3E1",REL,N/A,N/A,N/A,N/A,N/A,?,?
83,1,E019517,RES THICK FILM CHIP," 23.2K",R0402,1,N/A,1/16W,RF1,MULTICOMP (SPC)," MC 0.0625W 0402 1% 23K2",REL,N/A,N/A,N/A,N/A,7006846,?,?
84,1,E020912,RES PRECISION THICK FILM CHIP," 34.8K",R0402,1,N/A,1/10W,RF2,PANASONIC," ERJ-2RKF3482X",REL,N/A,N/A,N/A,N/A,N/A,?,?
85,1,E015181,RES GEN PURPOSE FILM," 1",R0603,1,N/A,1/10W,RFILT,YAGEO," RC0603FR-071RL",REL,N/A,N/A,N/A,N/A,7005439,?,?
86,1,E020516,RES PRECISION THICK FILM CHIP," 88.7K",R0402,1,N/A,1/10W,RFREQ,PANASONIC," ERJ-2RKF8872X",REL,N/A,N/A,N/A,N/A,N/A,?,?
87,1,E021585,IC 32BIT ARM-BASED 128KB FLASH MCU," ATSAM3U2CA-AU",LQFP100,N/A,N/A,?,U1,ATMEL," ATSAM3U2CA-AU",RWC,N/A,N/A,N/A,N/A,N/A,?,?
88,1,E026980,IC-ADI DUAL 16BIT NANODAC WITH EXTERNAL REFERENCE," AD5663RBRMZ-5",RM10,N/A,N/A,?,U10,ANALOG DEVICES," AD5663RBRMZ-5",REL,N/A,N/A,N/A,N/A,1008254,?,?
89,2,E007770,"IC 16-BIT, 4-CH 250 KSPS PULSAR ADC"," AD7682BCPZ",QFN20_4X4_PAD2_5X2_5,N/A,2.7V TO 5.5V,?,"U11,U12",ADI," AD7682BCPZ",REL,N/A,40901JH1329,N/A,N/A,1002152,?,?
90,1,E016603,IC-ADI HOTSWAP CTRLR AND D-POWER MONITOR," ADM1178-1ARMZ",RM10,N/A,N/A,?,U2,ANALOG DEVICES," ADM1178-1ARMZ-R7",REL,N/A,N/A,N/A,N/A,1003531,?,?
91,1,E023531,"IC-ADI 20V, 200mA, LOW NOISE,CMOS LDO LINEAR REG, 3.3 VOUT"," ADP7118ACPZN3.3",DFN6_2X2_PAD1_6X1,N/A,3.3V,?,U3,ANALOG DEVICES," ADP7118ACPZN3.3-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
92,1,E012776,IC-ADI PRECISION LOW DRIFT VOLTAGE REFERENCE," ADR381ARTZ",SOT23,N/A,N/A,?,U4,ANALOG DEVICES," ADR381ARTZ-REEL7",REL,N/A,N/A,N/A,N/A,30-025280-01,?,?
93,1,E018413,IC-ADI SYNCHRONOUS STEP DOWN DC TO DC REGULATOR," ADP2442ACPZ",QFN12_3X3_PAD1_6X1_6,N/A,N/A,?,U5,ANALOG DEVICES," ADP2442ACPZ-R7",REL,N/A,N/A,N/A,N/A,1003785,?,?
94,1,E021119,"IC-ADI ULTRA LOW NOISE, HIGH PSRR, FAST TRANSIENT RESPONSE CMOS, LDO"," ADM7171ACPZ",DFN8_3X3_PAD2_38X1_64,N/A,N/A,?,U6,ANALOG DEVICES," ADM7171ACPZ-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
95,1,E021288,"IC-ADI 20V, 200mA LOW NOISE, CMOS LIN REG, 5 VOUT"," ADP7118ACPZN5.0",DFN6_2X2_PAD1_6X1,N/A,N/A,?,U7,ANALOG DEVICES," ADP7118ACPZN5.0-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
96,1,E019029,IC-ADI PWM DC-CD SWITCHING CONVERTER," ADP1614ACPZ-1.3",QFN10_3X3_PAD2_38X1_64,N/A,N/A,?,U9,ANALOG DEVICES," ADP1614ACPZ-1.3-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
97,2,E018673,IC ADI QUAD SPST SWITCHES," ADG1611BCPZ",QFN16_4X4_PAD2_5X2_5,N/A,N/A,?,"UA11,UB11",ANALOG DEVICES," ADG1611BCPZ-REEL",REL,N/A,N/A,N/A,N/A,1003175,?,?
98,2,E012674,"IC-ADI 5V HIGH V,I SHNT MONITR"," AD8210WYRZ",SO8,N/A,N/A,?,"UA12,UB12",ADI," AD8210WYRZ",REL,N/A,N/A,N/A,N/A,1002435,?,?
99,2,E020276,"IC-ADI DUAL CHA, NONVOLATILE DIGITAL POT"," AD5122ABCPZ10",QFN16_3X3_PAD1_6X1_6,N/A,N/A,?,"UA9,UB9",ANALOG DEVICES," AD5122ABCPZ10-RL7",REL,N/A,N/A,N/A,N/A,N/A,?,?
100,1,E021373,IC CRYSTAL GLASS SEALING," 12MEGHZ",YSML197W126H59,30PPM,N/A,N/A,Y1,TXC CORPORATION," AA-12.000MAGE-T",REL,N/A,N/A,N/A,N/A,N/A,?,?


The following components are part of the PCB or are NOT to be installed
